client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f0009_06,8,1,378,test,0.02631579,3.7100236
f0000_14,9,3,383,train,0.06686047,3.6743958
f0001_41,9,0,414,train,0.061827958,3.6947615
f0002_01,9,0,405,train,0.06868132,3.665038
f0003_42,9,0,398,train,0.05586592,3.6983597
f0004_09,9,4,316,train,0.06338028,3.7022073
f0005_26,9,0,352,train,0.06962025,3.6489925
f0006_12,9,4,381,train,0.058479533,3.7231078
f0007_14,9,2,376,train,0.06804734,3.745976
f0008_45,9,0,419,train,0.055702917,3.6526341
f0009_06,9,1,378,train,0.073529415,3.763617
f0000_14,9,3,383,test,0.025641026,3.7808068
f0001_41,9,0,414,test,0.0,3.7171605
f0002_01,9,0,405,test,0.024390243,3.8519187
f0003_42,9,0,398,test,0.075,3.6446006
f0004_09,9,4,316,test,0.125,3.7471337
f0005_26,9,0,352,test,0.055555556,3.650197
f0006_12,9,4,381,test,0.025641026,3.813592
f0007_14,9,2,376,test,0.05263158,3.7784405
f0008_45,9,0,419,test,0.0952381,3.7464757
f0009_06,9,1,378,test,0.02631579,3.6850574
f0000_14,10,3,383,train,0.06686047,3.6598868
f0001_41,10,0,414,train,0.061827958,3.6803434
f0002_01,10,0,405,train,0.06868132,3.6467013
f0003_42,10,0,398,train,0.05586592,3.678053
f0004_09,10,4,316,train,0.06338028,3.683454
f0005_26,10,0,352,train,0.06962025,3.6207302
f0006_12,10,4,381,train,0.058479533,3.713179
f0007_14,10,2,376,train,0.06804734,3.7391517
f0008_45,10,0,419,train,0.055702917,3.635111
f0009_06,10,1,378,train,0.073529415,3.7547848
f0000_14,10,3,383,test,0.025641026,3.7790883
f0001_41,10,0,414,test,0.0,3.7382479
f0002_01,10,0,405,test,0.024390243,3.8268912
f0003_42,10,0,398,test,0.075,3.6316028
f0004_09,10,4,316,test,0.125,3.7461162
f0005_26,10,0,352,test,0.055555556,3.6361825
f0006_12,10,4,381,test,0.025641026,3.8084917
f0007_14,10,2,376,test,0.05263158,3.7787786
f0008_45,10,0,419,test,0.0952381,3.7376385
f0009_06,10,1,378,test,0.02631579,3.6530821
f0000_14,11,3,383,train,0.06686047,3.6603632
f0001_41,11,0,414,train,0.061827958,3.6703386
f0002_01,11,0,405,train,0.06868132,3.6469455
f0003_42,11,0,398,train,0.05586592,3.6655893
f0004_09,11,4,316,train,0.06338028,3.6673703
f0005_26,11,0,352,train,0.06962025,3.6221576
f0006_12,11,4,381,train,0.058479533,3.7013485
f0007_14,11,2,376,train,0.06804734,3.7429867
f0008_45,11,0,419,train,0.055702917,3.6352043
f0009_06,11,1,378,train,0.073529415,3.7318184
f0000_14,11,3,383,test,0.025641026,3.7838306
f0001_41,11,0,414,test,0.0,3.7453046
f0002_01,11,0,405,test,0.024390243,3.8257554
f0003_42,11,0,398,test,0.075,3.6520123
f0004_09,11,4,316,test,0.125,3.7201505
f0005_26,11,0,352,test,0.055555556,3.6484697
f0006_12,11,4,381,test,0.025641026,3.8143072
f0007_14,11,2,376,test,0.05263158,3.7837713
f0008_45,11,0,419,test,0.0952381,3.7272975
f0009_06,11,1,378,test,0.02631579,3.643938
f0000_14,12,3,383,train,0.06686047,3.6545918
f0001_41,12,0,414,train,0.061827958,3.6709218
f0002_01,12,0,405,train,0.06868132,3.6478825
f0003_42,12,0,398,train,0.05586592,3.6737812
f0004_09,12,4,316,train,0.06338028,3.675859
f0005_26,12,0,352,train,0.06962025,3.634872
f0006_12,12,4,381,train,0.058479533,3.7017493
f0007_14,12,2,376,train,0.06804734,3.7302406
f0008_45,12,0,419,train,0.055702917,3.635403
f0009_06,12,1,378,train,0.073529415,3.7320194
f0000_14,12,3,383,test,0.025641026,3.8037465
f0001_41,12,0,414,test,0.0,3.7073386
f0002_01,12,0,405,test,0.024390243,3.840776
f0003_42,12,0,398,test,0.075,3.6351032
f0004_09,12,4,316,test,0.125,3.7427814
f0005_26,12,0,352,test,0.055555556,3.6303189
f0006_12,12,4,381,test,0.025641026,3.8180327
f0007_14,12,2,376,test,0.05263158,3.7399693
f0008_45,12,0,419,test,0.0952381,3.740667
f0009_06,12,1,378,test,0.02631579,3.6503453
f0000_14,13,3,383,train,0.06686047,3.6435359
f0001_41,13,0,414,train,0.061827958,3.6626413
f0002_01,13,0,405,train,0.06868132,3.626427
f0003_42,13,0,398,train,0.05586592,3.6627817
f0004_09,13,4,316,train,0.06338028,3.6723423
f0005_26,13,0,352,train,0.07278481,3.6114683
f0006_12,13,4,381,train,0.058479533,3.70539
f0007_14,13,2,376,train,0.06804734,3.7256029
f0008_45,13,0,419,train,0.055702917,3.6203783
f0009_06,13,1,378,train,0.073529415,3.740377
f0000_14,13,3,383,test,0.025641026,3.7761986
f0001_41,13,0,414,test,0.0,3.7282689
f0002_01,13,0,405,test,0.024390243,3.8538916
f0003_42,13,0,398,test,0.075,3.6164963
f0004_09,13,4,316,test,0.125,3.7436779
f0005_26,13,0,352,test,0.055555556,3.6191058
f0006_12,13,4,381,test,0.025641026,3.811164
f0007_14,13,2,376,test,0.05263158,3.7349343
f0008_45,13,0,419,test,0.0952381,3.7517095
f0009_06,13,1,378,test,0.02631579,3.6580043
f0000_14,14,3,383,train,0.06686047,3.6430774
f0001_41,14,0,414,train,0.061827958,3.6613166
f0002_01,14,0,405,train,0.06868132,3.6384451
f0003_42,14,0,398,train,0.05586592,3.6669483
f0004_09,14,4,316,train,0.06338028,3.668957
f0005_26,14,0,352,train,0.06962025,3.6270523
f0006_12,14,4,381,train,0.058479533,3.7007236
f0007_14,14,2,376,train,0.06804734,3.7237442
f0008_45,14,0,419,train,0.055702917,3.6278527
f0009_06,14,1,378,train,0.073529415,3.7260358
f0000_14,14,3,383,test,0.025641026,3.7750337
f0001_41,14,0,414,test,0.0,3.7248063
f0002_01,14,0,405,test,0.024390243,3.8294487
f0003_42,14,0,398,test,0.075,3.617929
f0004_09,14,4,316,test,0.125,3.7350311
f0005_26,14,0,352,test,0.055555556,3.634879
f0006_12,14,4,381,test,0.025641026,3.814519
f0007_14,14,2,376,test,0.05263158,3.7388046
f0008_45,14,0,419,test,0.0952381,3.7403698
f0009_06,14,1,378,test,0.02631579,3.6312108
f0000_14,15,3,383,train,0.06686047,3.643735
f0001_41,15,0,414,train,0.061827958,3.6605287
f0002_01,15,0,405,train,0.06868132,3.6357656
f0003_42,15,0,398,train,0.05586592,3.6652703
f0004_09,15,4,316,train,0.06338028,3.664636
f0005_26,15,0,352,train,0.06962025,3.6198175
f0006_12,15,4,381,train,0.058479533,3.6967216
f0007_14,15,2,376,train,0.06804734,3.722869
f0008_45,15,0,419,train,0.055702917,3.62685
f0009_06,15,1,378,train,0.073529415,3.7250288
f0000_14,15,3,383,test,0.025641026,3.7930303
f0001_41,15,0,414,test,0.0,3.727372
f0002_01,15,0,405,test,0.024390243,3.8463926
f0003_42,15,0,398,test,0.075,3.6374984
f0004_09,15,4,316,test,0.125,3.7188022
f0005_26,15,0,352,test,0.055555556,3.645425
f0006_12,15,4,381,test,0.025641026,3.798174
f0007_14,15,2,376,test,0.05263158,3.724533
f0008_45,15,0,419,test,0.0952381,3.7426999
f0009_06,15,1,378,test,0.02631579,3.64577
f0000_14,16,3,383,train,0.06686047,3.6368937
f0001_41,16,0,414,train,0.061827958,3.6584837
f0002_01,16,0,405,train,0.06868132,3.6334436
f0003_42,16,0,398,train,0.05586592,3.664042
f0004_09,16,4,316,train,0.06338028,3.6709745
f0005_26,16,0,352,train,0.07278481,3.6264896
